Date,Time,GHI,DIF,GTI,flagR,SE,SA,Temperature,WS,WD
01.12.2018,00:10,0,0,0,0,-74.58,-170.32,8.7,2.0,285
01.12.2018,00:25,0,0,0,0,-73.76,-157.90,8.6,1.9,281
01.12.2018,00:40,0,0,0,0,-72.37,-146.93,8.4,1.9,279
01.12.2018,00:55,0,0,0,0,-70.53,-137.62,8.3,1.9,276
01.12.2018,01:10,0,0,0,0,-68.37,-129.84,8.2,1.9,274
01.12.2018,01:25,0,0,0,0,-65.97,-123.34,8.1,2.0,282
01.12.2018,01:40,0,0,0,0,-63.39,-117.86,8.1,2.1,289
01.12.2018,01:55,0,0,0,0,-60.69,-113.17,8.0,2.2,295
01.12.2018,02:10,0,0,0,0,-57.90,-109.09,7.9,2.4,301
01.12.2018,02:25,0,0,0,0,-55.05,-105.49,7.9,2.4,300
01.12.2018,02:40,0,0,0,0,-52.15,-102.26,7.8,2.5,299
01.12.2018,02:55,0,0,0,0,-49.21,-99.31,7.8,2.5,299
01.12.2018,03:10,0,0,0,0,-46.25,-96.59,7.8,2.6,298
01.12.2018,03:25,0,0,0,0,-43.27,-94.06,7.7,2.5,297
01.12.2018,03:40,0,0,0,0,-40.28,-91.66,7.6,2.5,296
01.12.2018,03:55,0,0,0,0,-37.29,-89.38,7.6,2.5,295
01.12.2018,04:10,0,0,0,0,-34.31,-87.18,7.5,2.5,293
01.12.2018,04:25,0,0,0,0,-31.32,-85.05,7.5,2.5,293
01.12.2018,04:40,0,0,0,0,-28.35,-82.96,7.4,2.5,292
01.12.2018,04:55,0,0,0,0,-25.39,-80.91,7.4,2.5,291
01.12.2018,05:10,0,0,0,0,-22.45,-78.88,7.3,2.5,290
01.12.2018,05:25,0,0,0,0,-19.53,-76.86,7.3,2.4,291
01.12.2018,05:40,0,0,0,0,-16.63,-74.84,7.3,2.2,291
01.12.2018,05:55,0,0,0,0,-13.76,-72.80,7.2,2.1,292
01.12.2018,06:10,0,0,0,0,-10.91,-70.74,7.1,2.0,292
01.12.2018,06:25,0,0,0,0,-8.07,-68.66,7.1,2.0,291
01.12.2018,06:40,0,0,0,0,-5.03,-66.53,7.0,2.1,289
01.12.2018,06:55,0,0,0,0,-1.11,-64.35,7.0,2.1,288
01.12.2018,07:10,0,0,0,3,0.62,-62.12,7.0,2.1,286
01.12.2018,07:25,27,16,91,3,2.95,-59.82,7.3,2.1,285
01.12.2018,07:40,63,28,185,3,5.40,-57.45,7.7,2.1,284
01.12.2018,07:55,99,38,250,1,7.85,-55.00,8.1,2.0,283
01.12.2018,08:10,144,42,337,1,10.23,-52.46,8.6,2.0,282
01.12.2018,08:25,196,48,430,1,12.55,-49.82,9.3,2.0,280
01.12.2018,08:40,230,50,481,1,14.77,-47.08,10.0,2.0,278
01.12.2018,08:55,265,56,528,1,16.91,-44.22,10.7,2.1,275
01.12.2018,09:10,313,66,600,1,18.93,-41.25,11.4,2.1,273
01.12.2018,09:25,338,71,630,1,20.84,-38.16,12.0,1.9,266
01.12.2018,09:40,353,87,635,1,22.62,-34.94,12.5,1.7,258
01.12.2018,09:55,414,95,734,1,24.25,-31.60,13.0,1.6,248
01.12.2018,10:10,437,70,779,1,25.74,-28.13,13.5,1.5,237
01.12.2018,10:25,457,71,809,1,27.07,-24.54,13.8,1.5,230
01.12.2018,10:40,477,73,835,1,28.22,-20.83,14.2,1.5,224
01.12.2018,10:55,494,74,859,1,29.19,-17.02,14.5,1.5,218
01.12.2018,11:10,510,75,882,1,29.97,-13.12,14.7,1.6,213
01.12.2018,11:25,520,75,895,1,30.54,-9.15,14.8,1.7,221
01.12.2018,11:40,524,77,899,1,30.91,-5.12,14.9,1.9,227
01.12.2018,11:55,529,76,908,1,31.08,-1.07,14.9,2.1,233
01.12.2018,12:10,528,76,906,1,31.03,2.99,15.0,2.3,238
01.12.2018,12:25,518,77,891,1,30.76,7.04,15.2,2.0,243
01.12.2018,12:40,512,121,860,1,30.30,11.04,15.5,1.7,250
01.12.2018,12:55,427,178,670,1,29.62,14.98,15.8,1.4,259
01.12.2018,13:10,492,135,826,1,28.75,18.84,16.0,1.2,271
01.12.2018,13:25,446,94,771,1,27.70,22.60,16.2,1.2,254
01.12.2018,13:40,420,94,730,1,26.46,26.25,16.2,1.3,238
01.12.2018,13:55,415,75,741,1,25.06,29.79,16.3,1.5,225
01.12.2018,14:10,388,64,707,1,23.50,33.20,16.3,1.7,215
01.12.2018,14:25,355,61,661,1,21.79,36.48,16.3,1.8,216
01.12.2018,14:40,322,58,614,1,19.95,39.64,16.2,1.9,217
01.12.2018,14:55,285,55,560,1,17.99,42.68,16.2,2.0,218
01.12.2018,15:10,255,51,520,1,15.91,45.59,16.1,2.1,219
01.12.2018,15:25,221,53,469,1,13.73,48.39,15.8,2.0,221
01.12.2018,15:40,176,45,400,1,11.46,51.08,15.5,1.9,222
01.12.2018,15:55,126,40,307,1,9.11,53.67,15.1,1.8,224
01.12.2018,16:10,78,34,204,3,6.69,56.17,14.6,1.7,226
01.12.2018,16:25,42,20,136,3,4.24,58.58,13.8,1.7,232
01.12.2018,16:40,10,10,9,3,1.81,60.92,13.0,1.7,239
01.12.2018,16:55,0,0,0,0,-0.26,63.18,12.2,1.7,245
01.12.2018,17:10,0,0,0,0,-2.93,65.39,11.5,1.7,251
01.12.2018,17:25,0,0,0,0,-6.54,67.54,11.3,1.8,257
01.12.2018,17:40,0,0,0,0,-9.42,69.65,11.3,1.9,262
01.12.2018,17:55,0,0,0,0,-12.26,71.72,11.3,1.9,267
01.12.2018,18:10,0,0,0,0,-15.12,73.77,11.3,2.0,271
01.12.2018,18:25,0,0,0,0,-18.00,75.80,11.3,2.1,276
01.12.2018,18:40,0,0,0,0,-20.91,77.82,11.3,2.2,280
01.12.2018,18:55,0,0,0,0,-23.84,79.84,11.3,2.3,284
01.12.2018,19:10,0,0,0,0,-26.79,81.88,11.3,2.5,287
01.12.2018,19:25,0,0,0,0,-29.76,83.95,11.2,2.5,290
01.12.2018,19:40,0,0,0,0,-32.73,86.05,11.2,2.6,292
01.12.2018,19:55,0,0,0,0,-35.72,88.21,11.1,2.7,294
01.12.2018,20:10,0,0,0,0,-38.71,90.45,11.1,2.7,296
01.12.2018,20:25,0,0,0,0,-41.70,92.78,11.1,2.7,297
01.12.2018,20:40,0,0,0,0,-44.68,95.24,11.0,2.7,298
01.12.2018,20:55,0,0,0,0,-47.65,97.86,10.9,2.8,299
01.12.2018,21:10,0,0,0,0,-50.60,100.67,10.9,2.8,300
01.12.2018,21:25,0,0,0,0,-53.52,103.75,10.9,2.8,300
01.12.2018,21:40,0,0,0,0,-56.41,107.15,10.8,2.8,301
01.12.2018,21:55,0,0,0,0,-59.23,110.96,10.8,2.8,302
01.12.2018,22:10,0,0,0,0,-61.98,115.31,10.7,2.8,302
01.12.2018,22:25,0,0,0,0,-64.63,120.35,10.7,2.8,303
01.12.2018,22:40,0,0,0,0,-67.13,126.28,10.6,2.8,303
01.12.2018,22:55,0,0,0,0,-69.43,133.35,10.6,2.8,304
01.12.2018,23:10,0,0,0,0,-71.45,141.82,10.5,2.8,304
01.12.2018,23:25,0,0,0,0,-73.09,151.92,10.5,2.5,298
01.12.2018,23:40,0,0,0,0,-74.22,163.63,10.5,2.3,291
01.12.2018,23:55,0,0,0,0,-74.74,176.52,10.5,2.1,284
02.12.2018,00:10,0,0,0,0,-74.74,-170.57,10.5,2.0,275
02.12.2018,00:25,0,0,0,0,-73.93,-158.03,10.4,2.1,286
02.12.2018,00:40,0,0,0,0,-72.54,-146.95,10.4,2.3,295
02.12.2018,00:55,0,0,0,0,-70.71,-137.57,10.3,2.6,302
02.12.2018,01:10,0,0,0,0,-68.54,-129.75,10.3,2.9,308
