Month,Day,Hour,Irradiance,Temperature,
1,1,1,0,15.6,
1,1,2,0,15.2,
1,1,3,0,14.8,
1,1,4,0,14.4,
1,1,5,0,14.0,
1,1,6,0,13.7,
1,1,7,54,14.6,
1,1,8,271,16.5,
1,1,9,511,18.5,
1,1,10,609,19.9,
1,1,11,778,21.3,
1,1,12,795,22.3,
1,1,13,795,23.0,
1,1,14,651,23.3,
1,1,15,656,23.4,
1,1,16,589,23.4,
1,1,17,366,22.9,
1,1,18,197,22.0,
1,1,19,88,21.0,
1,1,20,0,20.0,
1,1,21,0,19.0,
1,1,22,0,18.0,
1,1,23,0,16.9,
1,1,24,0,15.9,
1,2,1,0,15.0,
1,2,2,0,14.0,
1,2,3,0,13.0,
1,2,4,0,12.0,
1,2,5,0,11.0,
1,2,6,0,10.0,
1,2,7,85,11.5,
1,2,8,344,13.7,
1,2,9,597,15.9,
1,2,10,843,18.0,
1,2,11,1018,19.9,
1,2,12,1120,21.5,
1,2,13,1153,22.6,
1,2,14,1116,23.4,
1,2,15,990,23.7,
1,2,16,820,23.7,
1,2,17,612,23.1,
1,2,18,374,22.0,
1,2,19,69,20.3,
1,2,20,0,19.3,
1,2,21,0,18.3,
1,2,22,0,17.3,
1,2,23,0,16.4,
1,2,24,0,15.4,
1,3,1,0,14.7,
1,3,2,0,14.0,
1,3,3,0,13.3,
1,3,4,0,12.6,
1,3,5,0,11.9,
1,3,6,0,11.2,
1,3,7,65,12.3,
1,3,8,306,14.4,
1,3,9,532,16.4,
1,3,10,794,18.5,
1,3,11,966,20.4,
1,3,12,1088,22.0,
1,3,13,1132,23.3,
1,3,14,1094,24.1,
1,3,15,1003,24.6,
1,3,16,795,24.6,
1,3,17,577,24.0,
1,3,18,318,22.9,
1,3,19,53,21.3,
1,3,20,0,20.1,
1,3,21,0,18.9,
1,3,22,0,17.8,
1,3,23,0,16.6,
1,3,24,0,15.4,
1,4,1,0,14.3,
1,4,2,0,13.1,
1,4,3,0,12.0,
1,4,4,0,10.9,
1,4,5,0,9.7,
1,4,6,0,8.6,
1,4,7,77,9.9,
1,4,8,335,12.1,
1,4,9,616,14.4,
1,4,10,857,16.6,
1,4,11,1061,18.6,
1,4,12,1184,20.3,
1,4,13,1227,21.6,
1,4,14,1188,22.5,
1,4,15,1076,22.9,
1,4,16,883,22.9,
1,4,17,650,22.3,
1,4,18,316,21.0,
1,4,19,55,19.3,
1,4,20,0,18.1,
1,4,21,0,17.0,
1,4,22,0,15.9,
1,4,23,0,14.7,
1,4,24,0,13.6,
1,5,1,0,12.7,
1,5,2,0,11.8,
1,5,3,0,10.9,
1,5,4,0,10.0,
1,5,5,0,9.1,
1,5,6,0,8.2,
1,5,7,49,9.0,
1,5,8,330,11.4,
1,5,9,598,13.7,
1,5,10,818,15.8,
1,5,11,983,17.7,
1,5,12,1071,19.1,
1,5,13,1121,20.3,
1,5,14,1090,21.0,
1,5,15,990,21.4,
1,5,16,821,21.5,
1,5,17,551,20.8,
1,5,18,327,19.7,
1,5,19,15,18.0,
1,5,20,0,17.0,
1,5,21,0,16.0,
1,5,22,0,15.0,
1,5,23,0,14.0,
1,5,24,0,13.0,
1,6,1,0,12.2,
1,6,2,0,11.4,
1,6,3,0,10.5,
1,6,4,0,9.7,
1,6,5,0,8.8,
1,6,6,0,8.0,
1,6,7,63,9.0,
1,6,8,303,11.1,
1,6,9,507,13.0,
1,6,10,748,14.9,
1,6,11,931,16.7,
1,6,12,993,18.1,
1,6,13,1045,19.2,
1,6,14,1002,19.9,
1,6,15,881,20.2,
1,6,16,723,20.1,
1,6,17,530,19.6,
1,6,18,336,18.6,
1,6,19,81,17.2,
1,6,20,0,16.4,
1,6,21,0,15.6,
1,6,22,0,14.8,
1,6,23,0,14.0,
1,6,24,0,13.2,
1,7,1,0,12.7,
1,7,2,0,12.1,
1,7,3,0,11.6,
1,7,4,0,11.1,
1,7,5,0,10.5,
1,7,6,0,10.0,
1,7,7,28,10.5,
1,7,8,276,12.7,
1,7,9,406,14.1,
1,7,10,535,15.4,
1,7,11,628,16.5,
1,7,12,796,17.8,
1,7,13,862,18.8,
1,7,14,819,19.5,
1,7,15,560,19.5,
1,7,16,568,19.5,
1,7,17,379,19.0,
1,7,18,302,18.4,
1,7,19,53,17.3,
1,7,20,0,16.4,
1,7,21,0,15.4,
1,7,22,0,14.4,
1,7,23,0,13.4,
1,7,24,0,12.5,
1,8,1,0,11.6,
1,8,2,0,10.7,
1,8,3,0,9.8,
1,8,4,0,8.9,
1,8,5,0,8.0,
1,8,6,0,7.1,
1,8,7,38,7.7,
1,8,8,236,9.4,
1,8,9,549,11.8,
1,8,10,814,14.1,
1,8,11,1014,16.2,
1,8,12,1152,18.0,
1,8,13,1197,19.4,
1,8,14,1156,20.3,
1,8,15,1046,20.8,
1,8,16,865,20.9,
1,8,17,628,20.4,
1,8,18,327,19.2,
1,8,19,40,17.5,
1,8,20,0,16.5,
1,8,21,0,15.5,
1,8,22,0,14.5,
1,8,23,0,13.4,
1,8,24,0,12.4,
1,9,1,0,11.5,
1,9,2,0,10.6,
1,9,3,0,9.7,
1,9,4,0,8.7,
1,9,5,0,7.8,
1,9,6,0,6.9,
1,9,7,81,8.2,
1,9,8,343,10.3,
1,9,9,573,12.3,
1,9,10,810,14.3,
1,9,11,981,16.0,
1,9,12,1082,17.4,
1,9,13,1112,18.5,
1,9,14,1078,19.2,
1,9,15,962,19.5,
1,9,16,788,19.5,
1,9,17,503,18.7,
1,9,18,252,17.4,
1,9,19,22,15.8,
1,9,20,0,15.0,
1,9,21,0,14.2,
1,9,22,0,13.3,
1,9,23,0,12.5,
1,9,24,0,11.6,
1,10,1,0,11.1,
1,10,2,0,10.5,
1,10,3,0,10.0,
1,10,4,0,9.4,
1,10,5,0,8.8,
1,10,6,0,8.3,
1,10,7,48,9.1,
1,10,8,257,10.9,
1,10,9,474,12.7,
1,10,10,599,14.2,
1,10,11,823,15.8,
1,10,12,896,17.1,
1,10,13,922,18.1,
1,10,14,904,18.8,
1,10,15,789,19.1,
1,10,16,756,19.3,
1,10,17,469,18.8,
1,10,18,220,17.8,
1,10,19,24,16.5,
1,10,20,0,15.6,
1,10,21,0,14.8,
1,10,22,0,14.0,
1,10,23,0,13.1,
1,10,24,0,12.3,
1,11,1,0,11.5,
1,11,2,0,10.7,
1,11,3,0,10.0,
1,11,4,0,9.2,
1,11,5,0,8.4,
1,11,6,0,7.6,
1,11,7,68,8.8,
1,11,8,310,10.8,
1,11,9,554,12.9,
1,11,10,812,15.1,
1,11,11,968,16.9,
1,11,12,1063,18.4,
1,11,13,1088,19.5,
1,11,14,1049,20.2,
1,11,15,930,20.6,
1,11,16,760,20.5,
1,11,17,573,20.0,
1,11,18,274,18.8,
1,11,19,69,17.3,
1,11,20,0,16.2,
1,11,21,0,15.2,
1,11,22,0,14.2,
1,11,23,0,13.2,
1,11,24,0,12.1,
1,12,1,0,11.3,
1,12,2,0,10.4,
1,12,3,0,9.5,
1,12,4,0,8.7,
1,12,5,0,7.8,
1,12,6,0,6.9,
1,12,7,32,7.4,
1,12,8,246,9.1,
1,12,9,435,10.7,
1,12,10,676,12.5,
1,12,11,872,14.2,
1,12,12,917,15.4,
1,12,13,922,16.3,
1,12,14,862,16.8,
1,12,15,778,17.0,
1,12,16,645,17.0,
1,12,17,431,16.4,
1,12,18,304,15.6,
1,12,19,56,14.3,
1,12,20,0,13.5,
1,12,21,0,12.7,
1,12,22,0,11.9,
1,12,23,0,11.1,
1,12,24,0,10.3,
1,13,1,0,9.8,
1,13,2,0,9.3,
1,13,3,0,8.8,
1,13,4,0,8.2,
1,13,5,0,7.7,
1,13,6,0,7.2,
1,13,7,67,8.4,
1,13,8,182,9.3,
1,13,9,430,11.1,
1,13,10,645,12.9,
1,13,11,804,14.5,
1,13,12,900,15.8,
1,13,13,915,16.8,
1,13,14,843,17.4,
1,13,15,824,17.8,
1,13,16,641,17.9,
1,13,17,399,17.2,
1,13,18,235,16.3,
1,13,19,28,15.1,
1,13,20,0,14.3,
1,13,21,0,13.5,
1,13,22,0,12.8,
1,13,23,0,12.0,
1,13,24,0,11.3,
1,14,1,0,10.6,
1,14,2,0,9.9,
1,14,3,0,9.1,
1,14,4,0,8.4,
1,14,5,0,7.7,
1,14,6,0,7.0,
1,14,7,56,7.9,
1,14,8,258,9.6,
1,14,9,492,11.4,
1,14,10,712,13.2,
1,14,11,879,14.9,
1,14,12,1015,16.4,
1,14,13,1012,17.4,
1,14,14,969,18.1,
1,14,15,891,18.4,
1,14,16,719,18.4,
1,14,17,490,17.8,
1,14,18,256,16.7,
1,14,19,67,15.4,
1,14,20,0,14.5,
1,14,21,0,13.7,
1,14,22,0,12.8,
1,14,23,0,11.9,
1,14,24,0,11.1,
1,15,1,0,10.4,
1,15,2,0,9.7,
1,15,3,0,9.1,
1,15,4,0,8.4,
1,15,5,0,7.7,
1,15,6,0,7.0,
