date;Hours;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;TromsÃ¸;EE;LV;LT
01-01-2018;00 - 01;195,85;196,00;196,00;196,00;196,00;196,00;162,28;196,00;196,00;196,00;196,00;196,00;196,00;196,00;196,00;196,00;196,00
01-01-2018;01 - 02;196,74;196,74;196,74;196,74;196,74;196,74;196,74;196,74;196,74;196,74;196,74;196,74;196,74;196,74;196,74;196,74;196,74
01-01-2018;02 - 03;194,21;194,29;194,29;194,29;194,29;194,29;194,29;194,29;194,29;194,29;194,29;194,29;194,29;194,29;194,29;194,29;194,29
01-01-2018;03 - 04;183,34;183,86;183,86;183,86;183,86;183,86;183,86;183,86;183,86;183,86;183,86;183,86;183,86;183,86;183,86;183,86;183,86
01-01-2018;04 - 05;183,64;184,16;184,16;184,16;184,16;184,16;184,16;184,16;184,16;184,16;184,16;184,16;184,16;184,16;184,16;184,16;184,16
01-01-2018;05 - 06;180,44;134,06;134,06;134,06;134,06;134,06;134,06;134,06;184,31;184,31;184,31;183,64;183,64;183,64;134,06;134,06;134,06
01-01-2018;06 - 07;179,99;132,35;132,35;132,35;132,35;132,35;75,78;75,78;185,95;185,95;185,95;185,95;185,95;185,95;132,35;132,35;132,35
01-01-2018;07 - 08;180,81;132,50;132,50;132,50;132,50;132,50;132,50;132,50;191,38;191,38;191,38;190,64;190,64;190,64;132,50;132,50;132,50
01-01-2018;08 - 09;179,77;147,09;147,09;147,09;147,09;147,09;147,09;147,09;189,67;189,67;189,67;189,67;189,67;189,67;147,09;147,09;147,09
01-01-2018;09 - 10;180,59;154,31;154,31;154,31;154,31;154,31;154,31;154,31;190,12;190,12;190,12;190,12;190,12;190,12;154,31;154,31;154,31
01-01-2018;10 - 11;192,35;184,31;184,31;184,31;184,31;184,31;184,31;184,31;194,06;194,06;194,06;194,06;194,06;194,06;184,31;184,31;184,31
01-01-2018;11 - 12;193,99;191,16;191,16;191,16;191,16;191,16;191,16;191,16;194,43;194,43;194,43;194,43;194,43;194,43;191,16;191,16;191,16
01-01-2018;12 - 13;192,50;179,32;179,32;179,32;179,32;179,32;123,27;148,80;194,73;194,73;194,73;194,73;194,73;194,73;179,32;179,32;179,32
01-01-2018;13 - 14;193,24;186,17;186,17;186,17;186,17;186,17;98,33;186,17;194,96;194,96;194,96;194,96;194,96;194,96;186,17;186,17;186,17
01-01-2018;14 - 15;193,76;192,13;192,13;192,13;192,13;192,13;68,11;192,13;194,96;194,96;194,96;194,96;194,96;194,96;192,13;192,13;192,13
01-01-2018;15 - 16;196,74;196,97;196,97;196,97;196,97;196,97;98,93;196,97;196,97;196,97;196,97;196,97;196,97;196,97;196,97;196,97;196,97
