#### Simulations (1)
# Tnext #1
0.0 0.0
0.0 57.54461278943728
# x[2] #1
0.0 0.0
0.0 57.54461278943728
5.0 57.54461278943728
5.0 56.47896713683983
10.0 56.47896713683983
10.0 54.44119568138114
15.0 54.44119568138114
15.0 53.924749280248875
20.0 53.924749280248875
20.0 52.93664954316927
25.0 52.93664954316927
25.0 64.17426962603204
30.0 64.17426962603204
30.0 63.56767650842483
35.0 63.56767650842483
35.0 62.37200183491044
40.0 62.37200183491044
40.0 68.28000551355093
45.0 68.28000551355093
45.0 66.9819536085086
50.0 66.9819536085086
50.0 64.34446780772876
55.0 64.34446780772876
55.0 63.71480208923395
60.0 63.71480208923395
60.0 62.51269211536246
65.0 62.51269211536246
65.0 61.92196573551177
70.0 61.92196573551177
70.0 60.75826250048802
75.0 60.75826250048802
75.0 66.7806874444914
# visitedPatterns #1
0.0 0.0
0.0 1.0
10.0 1.0
10.0 2.0
25.0 2.0
25.0 3.0
35.0 3.0
35.0 4.0
50.0 4.0
50.0 5.0
60.0 5.0
60.0 6.0
70.0 6.0
70.0 7.0
# mode #1
0.0 0.0
5.0 0.0
5.0 6.0
15.0 6.0
15.0 0.0
20.0 0.0
20.0 7.0
25.0 7.0
25.0 2.0
30.0 2.0
30.0 0.0
35.0 0.0
35.0 5.0
40.0 5.0
40.0 0.0
45.0 0.0
45.0 6.0
55.0 6.0
55.0 0.0
60.0 0.0
60.0 2.0
65.0 2.0
65.0 0.0
70.0 0.0
70.0 5.0
75.0 5.0
75.0 0.0
